# alpha,err_hub,lambda_hub,a_hub
8.050291812295972704e+01,3.238010073714292503e-02,-6.163702242697128852e+00,9.644715034145407984e-01
8.124930210614047610e+01,3.208380974859625923e-02,-6.232511603691593294e+00,9.644890796718149639e-01
8.200260619934122985e+01,3.179021391224989834e-02,-6.301958595194037116e+00,9.645068105013433479e-01
8.276289456246342979e+01,3.149928910250165970e-02,-6.372049235808566081e+00,9.645245946074945120e-01
8.353023195026770509e+01,3.121101139992776830e-02,-6.442784266258763992e+00,9.645417312804008825e-01
8.430468371788967374e+01,3.092535708977606212e-02,-6.514176486483644446e+00,9.645591762350105292e-01
8.508631582640572333e+01,3.064230266045742113e-02,-6.586227836885893083e+00,9.645764104932401661e-01
8.587519484845171291e+01,3.036182480204674405e-02,-6.658947472289018066e+00,9.645937226681970955e-01
8.667138797389225147e+01,3.008390040478503558e-02,-6.732337406601105911e+00,9.646106226973940601e-01
8.747496301554414799e+01,2.980850655759081924e-02,-6.806406160282288731e+00,9.646274156357619312e-01
8.828598841495141869e+01,2.953562054656977409e-02,-6.881160484351887874e+00,9.646441461745169921e-01
8.910453324821513377e+01,2.926521985353525146e-02,-6.956608748928015729e+00,9.646609817959247435e-01
8.993066723187614286e+01,2.899728215453256652e-02,-7.032752223179492113e+00,9.646774354299962884e-01
9.076446072885356386e+01,2.873178531836706462e-02,-7.109601463620064621e+00,9.646939782116640272e-01
9.160598475443700295e+01,2.846870740513995912e-02,-7.187162122784922502e+00,9.647104224139759765e-01
9.245531098233570333e+01,2.820802666478861020e-02,-7.265438999584422852e+00,9.647266077591709621e-01
9.331251175078240578e+01,2.794972153563390904e-02,-7.344440798415188709e+00,9.647427202147819125e-01
9.417766006869518947e+01,2.769377064293143675e-02,-7.424174423826650937e+00,9.647588357730226827e-01
9.505082962189501927e+01,2.744015279743217128e-02,-7.504646180051515181e+00,9.647748383214491685e-01
9.593209477938241037e+01,2.718884699394630289e-02,-7.585861039009124340e+00,9.647906124854899179e-01
9.682153059967076558e+01,2.693983240991593142e-02,-7.667828422711668424e+00,9.648063111195449570e-01
9.771921283717991003e+01,2.669308840399198246e-02,-7.750554165057390144e+00,9.648218770331644656e-01
9.862521794868774805e+01,2.644859451461933908e-02,-7.834046653012233463e+00,9.648376131412009782e-01
9.953962309984228796e+01,2.620633045862952315e-02,-7.918309589340466914e+00,9.648528416360868665e-01
1.004625061717340344e+02,2.596627612983781752e-02,-8.003352588506281506e+00,9.648680149374193604e-01
1.013939457675291749e+02,2.572841159764793773e-02,-8.089185124389359771e+00,9.648834217457576967e-01
1.023340212191641285e+02,2.549271710566580751e-02,-8.175810192798900644e+00,9.648984366615545039e-01
1.032828125941027508e+02,2.525917307031821935e-02,-8.263237731376197104e+00,9.649134013806672794e-01
1.042404007021555827e+02,2.502776007947904446e-02,-8.351474966100141728e+00,9.649283881329517865e-01
